time: 0.3992750644683838, root_diff: 0.1342087272727276, V_lower: 0.770336727272727, V_upper: 0.9045454545454545, Belief Size: 1394, Controller Size: 63
time: 0.762441873550415, root_diff: 0.13176742236536365, V_lower: 0.7727780321800907, V_upper: 0.9045454545454543, Belief Size: 2439, Controller Size: 110
time: 0.8955960273742676, root_diff: 0.13176742236536354, V_lower: 0.7727780321800907, V_upper: 0.9045454545454542, Belief Size: 2587, Controller Size: 129
time: 1.4098639488220215, root_diff: 0.07226742236536399, V_lower: 0.7727780321800907, V_upper: 0.8450454545454547, Belief Size: 3580, Controller Size: 135
time: 1.439173936843872, root_diff: 0.06298845446712187, V_lower: 0.7727979091692416, V_upper: 0.8357863636363635, Belief Size: 3639, Controller Size: 146
time: 1.59853196144104, root_diff: 0.06298845323850422, V_lower: 0.7727979103978592, V_upper: 0.8357863636363634, Belief Size: 3688, Controller Size: 155
time: 2.582987070083618, root_diff: 0.05358699198164041, V_lower: 0.7727979103978592, V_upper: 0.8263849023794996, Belief Size: 4758, Controller Size: 163
time: 2.610646963119507, root_diff: 0.049974816874868155, V_lower: 0.7727979103978592, V_upper: 0.8227727272727273, Belief Size: 4805, Controller Size: 173
time: 3.019136905670166, root_diff: 0.049974816874868044, V_lower: 0.7727979103978592, V_upper: 0.8227727272727272, Belief Size: 5137, Controller Size: 183
time: 3.0559070110321045, root_diff: 0.04997481687486793, V_lower: 0.7727979103978592, V_upper: 0.8227727272727271, Belief Size: 5193, Controller Size: 193
time: 3.0559298992156982, root_diff: 0.04997481687486793, V_lower: 0.7727979103978592, V_upper: 0.8227727272727271, Belief Size: 5193, Controller Size: 193
time: 3.3381078243255615, root_diff: 0.03403390778395876, V_lower: 0.7727979103978592, V_upper: 0.8068318181818179, Belief Size: 5193, Controller Size: 193
time: 3.5476038455963135, root_diff: 0.03332038561794037, V_lower: 0.7727979103981022, V_upper: 0.8061182960160426, Belief Size: 5262, Controller Size: 199
time: 3.587700843811035, root_diff: 0.016799685056442915, V_lower: 0.7727979103981022, V_upper: 0.7895975954545451, Belief Size: 5324, Controller Size: 210
time: 3.8260529041290283, root_diff: 0.01541941232916988, V_lower: 0.7727979103981022, V_upper: 0.7882173227272721, Belief Size: 5411, Controller Size: 216
time: 3.8801348209381104, root_diff: 0.015419412329138016, V_lower: 0.7727979103981341, V_upper: 0.7882173227272721, Belief Size: 5487, Controller Size: 229
time: 4.128177881240845, root_diff: 0.011047658345181621, V_lower: 0.7727979103981341, V_upper: 0.7838455687433157, Belief Size: 5548, Controller Size: 231
time: 5.356882810592651, root_diff: 0.010199225965501935, V_lower: 0.7727979103981341, V_upper: 0.782997136363636, Belief Size: 6586, Controller Size: 239
time: 5.426495790481567, root_diff: 0.010199225965501935, V_lower: 0.7727979103981341, V_upper: 0.782997136363636, Belief Size: 6664, Controller Size: 253
time: 5.750224828720093, root_diff: 0.010199225965501935, V_lower: 0.7727979103981341, V_upper: 0.782997136363636, Belief Size: 6739, Controller Size: 241
time: 5.81438684463501, root_diff: 0.01001786232913815, V_lower: 0.7727979103981341, V_upper: 0.7828157727272722, Belief Size: 6813, Controller Size: 255
time: 6.4058239459991455, root_diff: 0.009767866874592857, V_lower: 0.7727979103981341, V_upper: 0.7825657772727269, Belief Size: 7168, Controller Size: 259
time: 6.405881881713867, root_diff: 0.009767866874592857, V_lower: 0.7727979103981341, V_upper: 0.7825657772727269, Belief Size: 7168, Controller Size: 259
time: 7.004302024841309, root_diff: 0.008258186420047497, V_lower: 0.7727979103981341, V_upper: 0.7810560968181816, Belief Size: 7168, Controller Size: 259
time: 7.570548057556152, root_diff: 0.0019263682382294478, V_lower: 0.7727979103981341, V_upper: 0.7747242786363635, Belief Size: 7492, Controller Size: 261
time: 7.570602178573608, root_diff: 0.0019263682382294478, V_lower: 0.7727979103981341, V_upper: 0.7747242786363635, Belief Size: 7492, Controller Size: 261
time: 8.168774127960205, root_diff: 0.0010125281257642449, V_lower: 0.7727979103981341, V_upper: 0.7738104385238983, Belief Size: 7492, Controller Size: 261
Total time: 8.168782234191895, root_diff: 0.0010125281257642449, V_lower: 0.7727979103981341, V_upper: 0.7738104385238983, Belief Size: 7492, Controller Size: 261
