time: 27.09102439880371, root_diff: 0.0016260115142779918, V_lower: 0.7824806246481121, V_upper: 0.7841066361623901, Belief Size: 11225, Controller Size: 453
time: 28.46027636528015, root_diff: 0.0016260115142779918, V_lower: 0.7824806246481121, V_upper: 0.7841066361623901, Belief Size: 11335, Controller Size: 434
time: 28.64034938812256, root_diff: 0.0016260115142779918, V_lower: 0.7824806246481121, V_upper: 0.7841066361623901, Belief Size: 11461, Controller Size: 457
time: 30.032641410827637, root_diff: 0.0016260115142779918, V_lower: 0.7824806246481121, V_upper: 0.7841066361623901, Belief Size: 11579, Controller Size: 443
time: 30.032698392868042, root_diff: 0.0016260115142779918, V_lower: 0.7824806246481121, V_upper: 0.7841066361623901, Belief Size: 11579, Controller Size: 443
time: 31.56788730621338, root_diff: 0.0010793631737477938, V_lower: 0.7824806246481121, V_upper: 0.7835599878218599, Belief Size: 11579, Controller Size: 443
time: 31.7424533367157, root_diff: 0.00039801010650619695, V_lower: 0.7824806246481121, V_upper: 0.7828786347546183, Belief Size: 11694, Controller Size: 467
time: 31.742473363876343, root_diff: 0.00039801010650619695, V_lower: 0.7824806246481121, V_upper: 0.7828786347546183, Belief Size: 11694, Controller Size: 467
time: 33.289692401885986, root_diff: 0.0003398493053514695, V_lower: 0.7824806246481121, V_upper: 0.7828204739534635, Belief Size: 11694, Controller Size: 467
Total time: 33.28970146179199, root_diff: 0.0003398493053514695, V_lower: 0.7824806246481121, V_upper: 0.7828204739534635, Belief Size: 11694, Controller Size: 467
