time: 26.596610069274902, root_diff: 0.60470963651421, V_lower: 0.3759197117671578, V_upper: 0.9806293482813677, Belief Size: 586, Controller Size: 98
time: 37.07362103462219, root_diff: 0.5980651876698428, V_lower: 0.3824735116203488, V_upper: 0.9805386992901917, Belief Size: 1085, Controller Size: 193
time: 44.97700214385986, root_diff: 0.5825996592599861, V_lower: 0.3979247151405899, V_upper: 0.980524374400576, Belief Size: 1378, Controller Size: 334
time: 51.38042902946472, root_diff: 0.46986582771350693, V_lower: 0.5106585466870691, V_upper: 0.980524374400576, Belief Size: 1557, Controller Size: 501
time: 57.969449043273926, root_diff: 0.35447790298662263, V_lower: 0.6260058147901616, V_upper: 0.9804837177767842, Belief Size: 1717, Controller Size: 622
time: 66.76577115058899, root_diff: 0.32761677522966326, V_lower: 0.6528504122809782, V_upper: 0.9804671875106414, Belief Size: 1934, Controller Size: 712
time: 75.49575018882751, root_diff: 0.2948324530220303, V_lower: 0.685619641114875, V_upper: 0.9804520941369053, Belief Size: 2060, Controller Size: 807
time: 83.15251302719116, root_diff: 0.2841514299384077, V_lower: 0.6963006641984976, V_upper: 0.9804520941369053, Belief Size: 2177, Controller Size: 884
time: 92.65968608856201, root_diff: 0.274179526820699, V_lower: 0.7062724370145377, V_upper: 0.9804519638352367, Belief Size: 2292, Controller Size: 1059
time: 101.32549595832825, root_diff: 0.2346434689805279, V_lower: 0.7458084948547088, V_upper: 0.9804519638352367, Belief Size: 2433, Controller Size: 1184
time: 101.32554697990417, root_diff: 0.2346434689805279, V_lower: 0.7458084948547088, V_upper: 0.9804519638352367, Belief Size: 2433, Controller Size: 1184
time: 102.74294209480286, root_diff: 0.23449312889310558, V_lower: 0.7458084948547088, V_upper: 0.9803016237478144, Belief Size: 2433, Controller Size: 1184
time: 112.56867790222168, root_diff: 0.23405804961854204, V_lower: 0.7461855154762569, V_upper: 0.9802435650947989, Belief Size: 2542, Controller Size: 1293
time: 124.83646392822266, root_diff: 0.21325525911729137, V_lower: 0.7669592403016037, V_upper: 0.980214499418895, Belief Size: 2741, Controller Size: 1389
time: 138.12071204185486, root_diff: 0.21071864007749075, V_lower: 0.7694886173053357, V_upper: 0.9802072573828264, Belief Size: 2877, Controller Size: 1520
time: 150.2887270450592, root_diff: 0.1721837419739709, V_lower: 0.8080229020859897, V_upper: 0.9802066440599606, Belief Size: 3064, Controller Size: 1703
time: 154.02710795402527, root_diff: 0.1700241257872911, V_lower: 0.8101823671811067, V_upper: 0.9802064929683978, Belief Size: 3203, Controller Size: 1857
time: 170.5095250606537, root_diff: 0.16861937579758757, V_lower: 0.8115871171708102, V_upper: 0.9802064929683978, Belief Size: 3292, Controller Size: 1959
time: 186.92361497879028, root_diff: 0.15916959534909225, V_lower: 0.8210283079532299, V_upper: 0.9801979033023221, Belief Size: 3412, Controller Size: 2128
time: 194.0832359790802, root_diff: 0.14901751178343858, V_lower: 0.8311775174689605, V_upper: 0.9801950292523991, Belief Size: 3653, Controller Size: 2340
time: 219.14332699775696, root_diff: 0.14176091858747086, V_lower: 0.8384338976156646, V_upper: 0.9801948162031354, Belief Size: 3910, Controller Size: 2396
time: 224.86973309516907, root_diff: 0.139217548596838, V_lower: 0.8409772676062974, V_upper: 0.9801948162031354, Belief Size: 4004, Controller Size: 2608
time: 224.86975002288818, root_diff: 0.139217548596838, V_lower: 0.8409772676062974, V_upper: 0.9801948162031354, Belief Size: 4004, Controller Size: 2608
time: 227.0588641166687, root_diff: 0.13902997325773803, V_lower: 0.8409772676062974, V_upper: 0.9800072408640355, Belief Size: 4004, Controller Size: 2608
time: 250.63268423080444, root_diff: 0.12551715936647856, V_lower: 0.8544021469283865, V_upper: 0.979919306294865, Belief Size: 4161, Controller Size: 2581
time: 259.2356221675873, root_diff: 0.12551715936647856, V_lower: 0.8544021469283865, V_upper: 0.979919306294865, Belief Size: 4331, Controller Size: 2793
time: 287.8064901828766, root_diff: 0.12551711904012097, V_lower: 0.8544021469283865, V_upper: 0.9799192659685074, Belief Size: 4460, Controller Size: 2759
time: 299.6647472381592, root_diff: 0.12384100788720687, V_lower: 0.8560775570345229, V_upper: 0.9799185649217298, Belief Size: 4651, Controller Size: 2971
time: 332.329882144928, root_diff: 0.11649632583625036, V_lower: 0.8633817459300476, V_upper: 0.9798780717662979, Belief Size: 4800, Controller Size: 2896
time: 338.8331172466278, root_diff: 0.11039823145232397, V_lower: 0.8694258864110154, V_upper: 0.9798241178633393, Belief Size: 4991, Controller Size: 3108
time: 372.6552560329437, root_diff: 0.10519733080559535, V_lower: 0.8746267020111087, V_upper: 0.979824032816704, Belief Size: 5079, Controller Size: 3005
time: 382.1424832344055, root_diff: 0.10347959729412026, V_lower: 0.8763444355225838, V_upper: 0.979824032816704, Belief Size: 5295, Controller Size: 3217
time: 418.66165924072266, root_diff: 0.09674261080584734, V_lower: 0.8830780463776298, V_upper: 0.9798206571834771, Belief Size: 5485, Controller Size: 3062
time: 427.45702624320984, root_diff: 0.09604535274612302, V_lower: 0.8837734952151065, V_upper: 0.9798188479612295, Belief Size: 5614, Controller Size: 3274
time: 427.4570460319519, root_diff: 0.09604535274612302, V_lower: 0.8837734952151065, V_upper: 0.9798188479612295, Belief Size: 5614, Controller Size: 3274
time: 430.8685631752014, root_diff: 0.0959244426391862, V_lower: 0.8837734952151065, V_upper: 0.9796979378542927, Belief Size: 5614, Controller Size: 3274
time: 476.9298231601715, root_diff: 0.09230156471965989, V_lower: 0.8873548790636008, V_upper: 0.9796564437832607, Belief Size: 5880, Controller Size: 3150
time: 485.65549302101135, root_diff: 0.09183067484720864, V_lower: 0.887825768936052, V_upper: 0.9796564437832607, Belief Size: 6035, Controller Size: 3362
time: 527.1878530979156, root_diff: 0.08826295664289241, V_lower: 0.8913934765963554, V_upper: 0.9796564332392478, Belief Size: 6084, Controller Size: 3245
time: 534.0098841190338, root_diff: 0.08381473026746944, V_lower: 0.8958417029717783, V_upper: 0.9796564332392478, Belief Size: 6205, Controller Size: 3457
time: 577.5215990543365, root_diff: 0.08274390554998434, V_lower: 0.8969077460774835, V_upper: 0.9796516516274678, Belief Size: 6313, Controller Size: 3256
time: 585.6727230548859, root_diff: 0.07712290882940598, V_lower: 0.9025286044322621, V_upper: 0.9796515132616681, Belief Size: 6534, Controller Size: 3468
time: 630.8069059848785, root_diff: 0.07603138200606963, V_lower: 0.9035611347561133, V_upper: 0.979592516762183, Belief Size: 6680, Controller Size: 3295
time: 635.7136631011963, root_diff: 0.07567173973712615, V_lower: 0.9039055992127117, V_upper: 0.9795773389498379, Belief Size: 6727, Controller Size: 3507
time: 683.1188750267029, root_diff: 0.07563039904229951, V_lower: 0.9039465254937831, V_upper: 0.9795769245360826, Belief Size: 6882, Controller Size: 3421
time: 691.628741979599, root_diff: 0.07316721552659744, V_lower: 0.9064088766269158, V_upper: 0.9795760921535133, Belief Size: 7016, Controller Size: 3633
