time: 2.4149951934814453, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 208, Controller Size: 110
time: 2.4150123596191406, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 208, Controller Size: 110
time: 2.4171204566955566, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 208, Controller Size: 110
time: 2.582780361175537, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 216, Controller Size: 116
time: 2.582831382751465, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 216, Controller Size: 116
time: 2.5848464965820312, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 216, Controller Size: 116
time: 2.6974985599517822, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 224, Controller Size: 122
time: 2.6975185871124268, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 224, Controller Size: 122
time: 2.699716567993164, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 224, Controller Size: 122
time: 2.877711534500122, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 231, Controller Size: 128
time: 2.877765655517578, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 231, Controller Size: 128
time: 2.8801097869873047, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 231, Controller Size: 128
time: 2.99630069732666, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 239, Controller Size: 134
time: 2.996335744857788, root_diff: 0.6666666666666667, V_lower: 0.3333333333333333, V_upper: 1.0, Belief Size: 239, Controller Size: 134
