time: 69.38901591300964, root_diff: 0.6957078335455276, V_lower: 0.30396690742595106, V_upper: 0.9996747409714787, Belief Size: 1213, Controller Size: 231
time: 84.4635808467865, root_diff: 0.6956978551727251, V_lower: 0.30396690742595106, V_upper: 0.9996647625986762, Belief Size: 1860, Controller Size: 320
time: 103.36630177497864, root_diff: 0.6956978551723689, V_lower: 0.30396690742595106, V_upper: 0.9996647625983199, Belief Size: 2465, Controller Size: 374
time: 127.88824892044067, root_diff: 0.6956974482664118, V_lower: 0.30396690742595106, V_upper: 0.9996643556923628, Belief Size: 3171, Controller Size: 413
time: 164.91566371917725, root_diff: 0.6956971037329001, V_lower: 0.30396690742595106, V_upper: 0.9996640111588511, Belief Size: 4056, Controller Size: 472
time: 212.929057598114, root_diff: 0.6956969078216784, V_lower: 0.30396690742595106, V_upper: 0.9996638152476294, Belief Size: 4955, Controller Size: 515
time: 284.4318537712097, root_diff: 0.6956967394694171, V_lower: 0.30396690742595106, V_upper: 0.9996636468953681, Belief Size: 6011, Controller Size: 558
time: 354.25964760780334, root_diff: 0.695696587721975, V_lower: 0.30396690742595106, V_upper: 0.9996634951479261, Belief Size: 6932, Controller Size: 573
time: 454.64826369285583, root_diff: 0.6956964796954053, V_lower: 0.30396690742595106, V_upper: 0.9996633871213563, Belief Size: 8149, Controller Size: 600
time: 557.2082486152649, root_diff: 0.6956963803812346, V_lower: 0.30396690742595106, V_upper: 0.9996632878071857, Belief Size: 9228, Controller Size: 601
time: 676.9726135730743, root_diff: 0.6956962887776861, V_lower: 0.30396690742595106, V_upper: 0.9996631962036372, Belief Size: 10371, Controller Size: 610
time: 815.1899845600128, root_diff: 0.695696204286516, V_lower: 0.30396690742595106, V_upper: 0.999663111712467, Belief Size: 11540, Controller Size: 615
time: 1062.0442934036255, root_diff: 0.6891240275225037, V_lower: 0.31053900626450365, V_upper: 0.9996630337870073, Belief Size: 13307, Controller Size: 827
time: 1356.7977042198181, root_diff: 0.6714358472647206, V_lower: 0.3282271146478099, V_upper: 0.9996629619125306, Belief Size: 15055, Controller Size: 1384
time: 1676.4979174137115, root_diff: 0.6714019592252665, V_lower: 0.32826093639627824, V_upper: 0.9996628956215446, Belief Size: 16539, Controller Size: 1834
time: 2035.4144282341003, root_diff: 0.6714018713242988, V_lower: 0.3282609631519596, V_upper: 0.9996628344762584, Belief Size: 17970, Controller Size: 2348
time: 2497.7340750694275, root_diff: 0.6714018149020237, V_lower: 0.3282609631739699, V_upper: 0.9996627780759936, Belief Size: 19654, Controller Size: 2565
time: 2998.8858239650726, root_diff: 0.671401762881399, V_lower: 0.3282609631739871, V_upper: 0.9996627260553861, Belief Size: 21254, Controller Size: 2960
time: 3773.1931080818176, root_diff: 0.6714017149035402, V_lower: 0.3282609631739871, V_upper: 0.9996626780775273, Belief Size: 23610, Controller Size: 3114
time: 4474.661120176315, root_diff: 0.6714016733907896, V_lower: 0.3282609631739871, V_upper: 0.9996626365647767, Belief Size: 25515, Controller Size: 3131
time: 5219.229764223099, root_diff: 0.6714016349080814, V_lower: 0.3282609631739871, V_upper: 0.9996625980820685, Belief Size: 27418, Controller Size: 3161
time: 6121.088024139404, root_diff: 0.6714015991767787, V_lower: 0.3282609631739871, V_upper: 0.9996625623507658, Belief Size: 29520, Controller Size: 3198
time: 7062.0016050338745, root_diff: 0.6714015660614853, V_lower: 0.3282609631739871, V_upper: 0.9996625292354724, Belief Size: 31620, Controller Size: 3234
time: 7304.853357076645, root_diff: 0.6714015353496907, V_lower: 0.3282609631739871, V_upper: 0.9996624985236778, Belief Size: 32056, Controller Size: 3233
Total time: 7362.504017114639, root_diff: 0.6714015068731064, V_lower: 0.3282609631739871, V_upper: 0.9996624700470935, Belief Size: 32056, Controller Size: 3233
